d13c,age,1,2,3,4,6,,,
-29.37518784,192.5,0.19073152,0.218690157,0.296438146,0.180390655,0.113749521,,,
-30.16966926,297.4,0.183366337,0.142970297,0.413069307,0.177029703,0.083564356,,,
-28.38985661,298.4,0.253944773,0.142751479,0.346646943,0.175542406,0.081114398,,,
-29.11166795,391.1,0.309665598,0.103527256,0.3591388,0.155748969,0.071919377,,,
-29.2993135,392.2,0.265765766,0.083333333,0.423423423,0.117117117,0.11036036,,,
-29.04597456,492,0.298650414,0.125816282,0.226817588,0.196778407,0.15193731,,,
-30.41980825,601.7,0.180094787,0.153238547,0.289099526,0.260663507,0.116903633,,,
-29.07689875,603.1,0.23796034,0.117563739,0.376770538,0.196883853,0.07082153,,,
-28.65297861,678.9,0.114956012,0.120821114,0.170674487,0.273900293,0.319648094,,,
-28.09339593,679.6,0.152054795,0.116438356,0.235159817,0.228310502,0.26803653,,,
-31.73088248,795,0.07,0.1025,0.0875,0.24,0.5,,,
-29.63996506,796.1,0.162989934,0.155279503,0.215035339,0.20411223,0.262582994,,,
-29.98008851,893.7,0.132885212,0.17114788,0.2114788,0.257497415,0.226990693,,,
-29.7009251,967.9,0.236,0.114666667,0.225333333,0.294,0.13,,,
-29.4975557,968.4,0.259060745,0.11740684,0.277437468,0.210056151,0.136038795,,,
-30.94687592,1054.8,0.265963679,0.121851201,0.282366725,0.176918571,0.152899824,,,
-29.94611083,1193.6,0.147766323,0.116838488,0.347079038,0.23161512,0.156701031,,,
-30.4760357,1244.8,0.079254079,0.252913753,0.162004662,0.241258741,0.264568765,,,
-29.43245816,1245.8,0.129032258,0.25,0.233870968,0.258064516,0.129032258,,,
-29.60829281,1357.5,0.122644163,0.16230661,0.284950774,0.257946554,0.172151899,,,
-29.03103172,1456.6,0.170326409,0.083877349,0.304648863,0.27537092,0.165776459,,,
-29.52952285,1457.7,0.194582094,0.060125537,0.455896928,0.172117608,0.117277833,,,
-30.22785796,1550.4,0.212121212,0.057092666,0.304787,0.300395257,0.125603865,,,
-27.86679934,1703.4,0.188688689,0.114614615,0.304804805,0.238738739,0.153153153,,,
-28.07260809,1704.6,0.160691145,0.117062635,0.254859611,0.245788337,0.221598272,,,
-28.98483313,1805.6,0.099313531,0.079168538,0.623275807,0.142362225,0.0558799,,,
-28.9655082,1921.5,0.104025328,0.07960199,0.178652194,0.365897784,0.271822705,,,
-28.40292962,1922.7,0.137197359,0.055025679,0.261188555,0.439471753,0.107116654,,,
-29.82234083,2059.4,0.166979362,0.138836773,0.243902439,0.290806754,0.159474672,,,
-28.54499667,2061.1,0.194794291,0.115869018,0.265323258,0.273719563,0.150293871,,,
-29.09826413,2237.3,0.203115067,0.056897648,0.460902734,0.16719644,0.111888112,,,
-30.01572712,2870.9,0.146443515,0.084728033,0.267782427,0.382845188,0.118200837,,,
-29.12584817,2872.7,0.172661871,0.074340528,0.303357314,0.321342926,0.128297362,,,
-29.32144324,2994.3,0.2,0.035789474,0.37754386,0.301754386,0.084912281,,,
-29.30403186,2996,0.137555982,0.069737684,0.284069098,0.378119002,0.130518234,,,
-29.34096411,3203.7,0.138188976,0.075984252,0.263779528,0.392519685,0.129527559,,,
-28.96434675,3206.3,0.292592593,0.133333333,0.162962963,0.292592593,0.118518519,,,
-29.53732356,3531.1,0.13753878,0.079627715,0.248190279,0.427094105,0.107549121,,,
-28.95638872,3533.8,0.183333333,0.133333333,0.225,0.316666667,0.141666667,,,
-29.44460282,3727.2,0.176605505,0.055045872,0.440366972,0.236238532,0.091743119,,,
-30.28621362,3729,0.173423423,0.060810811,0.400900901,0.252252252,0.112612613,,,
-30.8365662,3864.7,0.196452037,0.046649146,0.449408673,0.252956636,0.054533509,,,
-29.48863621,3866.3,0.184738956,0.047858099,0.377844712,0.302878179,0.086680054,,,
-30.01551959,4022.7,0.139344262,0.147540984,0.270491803,0.327868852,0.114754098,,,
-28.40367979,4308.8,0.161320755,0.06509434,0.408018868,0.183962264,0.181603774,,,
-28.20627146,4520.5,0.159090909,0.152597403,0.288961039,0.253246753,0.146103896,,,
-29.20036575,4612.4,0.130637255,0.092156863,0.408088235,0.253431373,0.115686275,,,
-29.6586406,4827.3,0.189642041,0.089870526,0.368621478,0.25209444,0.099771516,,,
-28.89088475,4911.2,0.189266269,0.064039409,0.544118918,0.138190303,0.064385101,,,
-28.53779455,5007.4,0.104637337,0.165279429,0.20451843,0.323424495,0.202140309,,,
-28.42386204,5008.5,0.062770563,0.192640693,0.12987013,0.346320346,0.268398268,,,
-28.52585972,5401.5,0.161765904,0.053514702,0.559501507,0.16453531,0.060682577,,,
-27.9045805,5402.7,0.063190184,0.170552147,0.16809816,0.398773006,0.199386503,,,
-29.4297678,5483.8,0.148669576,0.064761368,0.521329016,0.180909475,0.084330565,,,
-29.4978927,5551.4,0.128398792,0.090634441,0.444108761,0.261329305,0.075528701,,,
-29.01874957,5551.9,0.170481084,0.070527791,0.473143391,0.183559085,0.10228865,,,
-28.63326648,5611.2,0.131940907,0.106724401,0.355323484,0.285022924,0.120988283,,,
-28.66030642,5611.7,0.133239832,0.104347826,0.3542777,0.27769986,0.130434783,,,
-29.64633725,5711.5,0.085110508,0.147537805,0.217138426,0.263861962,0.286351299,,,
-29.54711614,5712.6,0.058673469,0.256377551,0.121173469,0.418367347,0.145408163,,,
-29.25186256,5909.4,0.107843137,0.107843137,0.303921569,0.266666667,0.21372549,,,
-29.42591096,5910.7,0.159749413,0.104541895,0.385277995,0.221613156,0.128817541,,,
-30.37757991,5999.9,0.15432006,0.053493614,0.536889557,0.190082645,0.065214125,,,
-29.61153982,6199.4,0.107905138,0.121212121,0.324242424,0.317786561,0.128853755,,,
-28.99087806,6200.5,0.119135802,0.120061728,0.296604938,0.294753086,0.169444444,,,
-30.65050112,6288.7,0.114020951,0.088638195,0.419419823,0.25463336,0.123287671,,,
-29.37314008,6289.7,0.128023599,0.083775811,0.481268437,0.213126844,0.09380531,,,
-29.22453919,6409,0.079069767,0.21627907,0.244186047,0.286046512,0.174418605,,,
-28.43533006,6412.4,0.110456207,0.158670282,0.330897088,0.275963692,0.124012731,,,
-29.31935871,6571.4,0.152933929,0.036500847,0.663483752,0.109040505,0.038040967,,,
-29.40308329,6572.5,0.124757595,0.086942469,0.373626374,0.262766645,0.151906917,,,
-30.07379782,6648.5,0.131792255,0.089912939,0.394776343,0.249924947,0.133593515,,,
-28.97879282,6649.5,0.163215591,0.103532278,0.332521315,0.258221681,0.142509135,,,
-29.01391877,6739.5,0.134777715,0.084974676,0.460185706,0.237197524,0.082864378,,,
-28.731219,6941.7,0.105797101,0.1,0.320772947,0.374396135,0.099033816,,,
-29.13493198,7140.6,0.099632931,0.116413214,0.336654431,0.346617724,0.100681699,,,
-29.48055318,7248.6,0.112952621,0.114754098,0.285894433,0.274364979,0.212033868,,,
-28.59430764,7250.1,0.116674117,0.149754135,0.203397407,0.344658024,0.185516316,,,
-29.95900007,7382,0.12962963,0.06517094,0.429487179,0.208689459,0.167022792,,,
-30.05214929,7383.5,0.132775316,0.089282784,0.475381585,0.217544723,0.085015592,,,
-28.91203749,7737.5,0.105032084,0.146909828,0.308004053,0.287740628,0.152313408,,,
-29.96136694,7837.7,0.09049158,0.129103589,0.26313999,0.284061915,0.233202926,,,
-31.83742969,7906.6,0.104801423,0.075163011,0.485477178,0.238529935,0.096028453,,,
-29.66172573,7907.6,0.100591716,0.119567435,0.299734748,0.356253826,0.123852275,,,
-29.94412683,8050.3,0.106178977,0.134943182,0.280539773,0.327769886,0.150568182,,,
-29.86386315,8116.8,0.071653268,0.196434813,0.186997553,0.361062566,0.1838518,,,
-31.07184134,8184.2,0.096751412,0.14759887,0.264477401,0.354519774,0.136652542,,,
-31.07247799,8184.6,0.114075437,0.156393744,0.334130635,0.256117755,0.139282429,,,
-30.69914577,8246.5,0.053695324,0.154751131,0.323076923,0.333031674,0.135444947,,,
-30.60368348,8246.9,0.097881828,0.116833891,0.47826087,0.220958751,0.08606466,,,
-30.18704357,8496.3,0.088268336,0.110094688,0.502006099,0.231904991,0.067725887,,,
-32.36247809,8497.5,0.088572002,0.112171119,0.471279373,0.263807994,0.064169512,,,
-30.89555778,8820.4,0.095866092,0.166370784,0.338067461,0.219714262,0.179981402,,,
-29.99690232,8821.7,0.096965988,0.180292035,0.300340999,0.232578473,0.189822506,,,
-30.04739631,8937.3,0.129666012,0.281925344,0.147347741,0.299607073,0.141453831,,,
-30.81941796,9126,0.073888889,0.182222222,0.308333333,0.282222222,0.153333333,,,
-30.3686893,9127.5,0.085564173,0.158869152,0.356100409,0.280627137,0.118839129,,,
-30.09134736,9229.4,0.061492178,0.205776173,0.16377858,0.440914561,0.128038508,,,
-29.90450271,9378.9,0.080235988,0.115634218,0.410619469,0.279056047,0.114454277,,,
-29.99829727,9512,0.114014252,0.320665083,0.121140143,0.311163895,0.133016627,,,
-29.31340664,9513.8,0.080338914,0.234993875,0.261331156,0.307778685,0.11555737,,,
-30.07011693,9697.3,0.093904448,0.136864783,0.407172728,0.288049677,0.074008364,,,
-30.51864745,9896.3,0.073405535,0.184516647,0.262334537,0.25511432,0.224628961,,,
-30.73099663,10088.2,0.484375,0.1328125,0.109375,0.1171875,0.15625,,,
-30.76494222,10089.4,0.121462778,0.176316935,0.32346539,0.210709621,0.168045276,,,
-30.46579346,10290.3,0.025712689,0.178870878,0.058692007,0.399105646,0.337618781,,,
-29.38401295,10519.4,0.095634096,0.188149688,0.109147609,0.308731809,0.298336798,,,
-30.99004828,10740.2,0.082941729,0.154135338,0.236137218,0.3125,0.214285714,,,
-31.91361746,10741.1,0.079204132,0.13698106,0.317199158,0.307059499,0.159556151,,,
-28.76085341,10877.6,0.123997862,0.11758418,0.335114912,0.27151256,0.151790486,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
